parcela,x,y,width,height
1,1921,3075,581,248
2,1901,2727,594,268
3,1881,2377,603,274
4,1879,2041,609,264
5,1877,1708,610,261
6,1872,1359,612,272
7,1884,1006,580,282
8,1855,669,605,261
9,1846,334,586,262
10,1832,0,609,248
11,1239,0,573,253
12,1251,328,570,268
13,1242,674,589,261
14,1238,1009,596,278
15,1262,1358,579,272
16,1259,1702,591,264
17,1256,2043,616,269
18,1278,2383,603,268
19,1283,2723,605,267
20,1289,3074,610,249
21,696,3065,573,258
22,673,2719,576,268
23,672,2376,585,268
24,646,2042,561,262
25,642,1701,600,266
26,633,1362,600,267
27,630,1007,594,274
28,624,672,605,263
29,605,329,594,264
30,618,0,572,245
31,0,0,557,249
32,3,325,574,268
33,7,671,583,264
34,10,1011,600,268
35,25,1353,587,265
36,28,1699,575,263
37,37,2040,576,256
38,40,2382,590,257
39,54,2720,570,251
40,55,3059,610,264
